"Class";"Name";"CID";"CAS";"Goldman.2005.WT";"Bruyne.1999.WT"
"100";"arom";"benzyl alcohol";244;"100-51-6";NA;NA
"101";"arom";"methyl salicylate";4133;"119-36-8";NA;NA
"102";"arom";"methyl benzoate";7150;"93-58-3";NA;NA
"103";"arom";"ethyl benzoate";7165;"93-89-0";NA;NA
"104";"arom";"phenethyl acetate";7654;"103-45-7";NA;NA
"105";"arom";"benzaldehyde";240;"100-52-7";62;14
"106";"arom";"phenylacetaldehyde";998;"122-78-1";NA;NA
"107";"arom";"acetophenone";7410;"98-86-2";NA;NA
"108";"arom";"ethyl cinnamate";637758;"103-36-6";NA;NA
"109";"arom";"2-methylphenol";335;"95-48-7";NA;NA
"110";"arom";"4-ethylguaiacol";62465;"2785-89-9";NA;NA
"111";"arom";"eugenol";3314;"97-53-0";NA;NA
"112";"arom";"salicyl aldehyde";6998;"90-02-8";NA;NA
"113";"arom";"2-hydroxy-anisole";460;"90-05-1";NA;NA
"114";"arom";"4-propenyl anisole";637563;"104-46-1";NA;NA
"115";"arom";"4-methoxybenzaldehyde";31244;"123-11-5";NA;NA
"116";"arom";"4-isopropylbenzaldehyde";326;"122-03-2";NA;NA
"117";"arom";"4-methoxybenzene";7519;"100-66-3";NA;NA
"118";"arom";"4-allyl-1,2-dimethoxybenzene";7127;"93-15-2";NA;NA
"119";"arom";"2,4,5-trimethoxy-1-propenylbenzene";636822;"2883-98-9";NA;NA
"120";"arom";"benzyl cyanide";8794;"140-29-4";NA;NA
"121";"arom";"iso-eugenol";853433;"97-54-1";NA;NA
"122";"arom";"4-methylphenol";2879;"106-44-5";205;122
"123";"arom";"4-ethylphenol";31242;"123-07-9";NA;NA
"124";"arom";"2-propylphenol";12570;"644-35-9";NA;NA
"125";"arom";"3-phenyl-2E-propenal";637511;"14371-10-9";NA;NA
"126";"arom";"benzonitrile";7505;"100-47-0";NA;NA
"127";"arom";"methyl jasmonate";62388;"39924-52-2";NA;NA
"128";"arom";"benzyl acetate";8785;"140-11-4";NA;NA
"129";"arom";"4-propylphenol";12580;"645-56-7";-5;NA
"130";"arom";"3-methylphenol";342;"108-39-4";NA;NA
"131";"arom";"2-ethylphenol";6997;"90-00-6";NA;NA
"132";"arom";"benzoic acid";243;"65-85-0";NA;NA
"133";"arom";"4hydroxy-3-methoxybenzaldehyde";1183;"121-33-5";NA;NA
"134";"alcohol";"methanol";887;"67-56-1";NA;NA
"135";"alcohol";"ethanol";702;"64-17-5";NA;NA
"136";"alcohol";"1-propanol";1031;"71-23-8";NA;NA
"137";"alcohol";"1-butanol";263;"71-36-3";NA;NA
"138";"alcohol";"1-pentanol";6276;"71-41-0";NA;NA
"139";"alcohol";"1-hexanol";8103;"111-27-3";NA;NA
"140";"alcohol";"1-octanol";957;"111-87-5";NA;NA
"141";"alcohol";"2-octanol";20083;"123-96-6";NA;NA
"142";"alcohol";"2-pentanol";22386;"6032-29-7";NA;NA
"143";"alcohol";"3-methyl-butanol";31260;"123-51-3";NA;NA
"144";"alcohol";"3-methyl-2-buten-1-ol";11173;"556-82-1";NA;NA
"145";"alcohol";"1-penten-3-ol";12020;"616-25-1";NA;NA
"146";"alcohol";"1-octen-3-ol";18827;"3391-86-4";NA;NA
"147";"alcohol";"E2-hexenol";5318042;"928-95-0";NA;NA
"148";"alcohol";"Z2-hexenol";5324489;"928-94-9";NA;NA
"149";"alcohol";"E3-hexenol";5284503;"928-97-2";NA;NA
"150";"alcohol";"Z3-hexenol";5281167;"928-96-1";NA;NA
"151";"alcohol";"glycerol";753;"56-81-5";NA;NA
"152";"alcohol";"2,3-butanediol";262;"513-85-9";NA;NA
"153";"alcohol";"cyclohexanol";7966;"108-93-0";NA;NA
"154";"alcohol";"decanol";8174;"112-30-1";NA;NA
"155";"alcohol";"4-methylcyclohexanol";11524;"589-91-3";NA;NA
"156";"alcohol";"1-heptanol";8129;"111-70-6";NA;NA
"157";"alcohol";"3-octanol";11527;"589-98-0";-20;1
"158";"alcohol";"1-nonanol";8914;"143-08-8";NA;NA
"159";"alcohol";"4-octanol";11515;"589-62-8";NA;NA
"160";"alcohol";"2-heptanol";10976;"543-49-7";NA;NA
"161";"alcohol";"2-hexanol";12297;"626-93-7";NA;NA
"162";"alcohol";"3-hexanol";12178;"623-37-0";NA;NA
"163";"alcohol";"1-hexen-3-ol";20928;"4798-44-1";NA;NA
"164";"alcohol";"isobutyl alcohol";6560;"78-83-1";NA;NA
"165";"ester";"methyl acetate";6584;"79-20-9";NA;NA
"166";"ester";"ethyl acetate";8857;"141-78-6";-23;12
"167";"ester";"propyl acetate";7997;"109-60-4";NA;NA
"168";"ester";"butyl acetate";31272;"123-86-4";NA;NA
"169";"ester";"pentyl acetate";12348;"628-63-7";NA;NA
"170";"ester";"hexyl acetate";8908;"142-92-7";NA;NA
"171";"ester";"isobutyl acetate";8038;"110-19-0";NA;NA
"172";"ester";"isopentyl acetate";31276;"123-92-2";-20;17
"173";"ester";"E2-hexenyl acetate";2733294;"2497-18-9";NA;NA
"174";"ester";"methyl butyrate";12180;"623-42-7";NA;NA
"175";"ester";"ethyl butyrate";7762;"105-54-4";NA;NA
"176";"ester";"hexyl butyrate";17525;"2639-63-6";NA;NA
"177";"ester";"ethyl 3-hydroxybutyrate";62572;"5405-41-4";NA;NA
"178";"ester";"ethyl propionate";7749;"105-37-3";NA;NA
"179";"ester";"ethyl methanoate";8025;"109-94-4";NA;NA
"180";"ester";"methyl hexanoate";7824;"106-70-7";NA;NA
"181";"ester";"ethyl hexanoate";31265;"123-66-0";NA;NA
"182";"ester";"hexyl hexanoate";22873;"6378-65-0";NA;NA
"183";"ester";"methyl octanoate";8091;"111-11-5";NA;NA
"184";"ester";"ethyl octanoate";7799;"106-32-1";NA;NA
"185";"ester";"ethyl decanoate";8048;"110-38-3";NA;NA
"186";"ester";"ethyl trans-2-butenoate";429065;"623-70-1";NA;NA
"187";"ester";"ethyl lactate";92831;"97-64-3";NA;NA
"188";"ester";"diethyl succinate";31249;"123-25-1";NA;NA
