"Class";"Name";"CID";"CAS";"Hallem.2006.EN";"Hallem.2004.EN";"Hallem.2004.WT";"Bruyne.2001.WT";"Dobritsa.2003.EN";"Stensmyr.2003.WT";"Schmuker.2007.TR";"Pelz.2006.ALEC50";"Pelz.2006.AntEC50";"Pelz.2005.ALnmr";"Pelz.2005.Antnmr"
"arom";"benzyl cyanide";"8794";"140-29-4";NA;NA;NA;NA;NA;0;NA;NA;NA;0.437;0.026
"arom";"iso-eugenol";"853433";"97-54-1";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.242;0.236
"arom";"4-methylphenol";"2879";"106-44-5";NA;NA;NA;NA;NA;NA;3;NA;NA;0.218;0.321
"arom";"4-ethylphenol";"31242";"123-07-9";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.261;0.311
"arom";"2-propylphenol";"12570";"644-35-9";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.176;0.3
"arom";"3-phenyl-2E-propenal";"637511";"14371-10-9";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.271;0.318
"arom";"benzonitrile";"7505";"100-47-0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"methyl jasmonate";"62388";"39924-52-2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"benzyl acetate";"8785";"140-11-4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"4-propylphenol";"12580";"645-56-7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"3-methylphenol";"342";"108-39-4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"2-ethylphenol";"6997";"90-00-6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"benzoic acid";"243";"65-85-0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"4hydroxy-3-methoxybenzaldehyde";"1183";"121-33-5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
