"Class";"Name";"CID";"CAS";"Hallem.2006.EN";"Hallem.2004.EN";"Hallem.2004.WT";"Bruyne.2001.WT";"Dobritsa.2003.EN";"Stensmyr.2003.WT";"Schmuker.2007.TR"
"ester";"hexyl hexanoate";"22873";"6378-65-0";13;NA;NA;NA;NA;NA;NA
"ester";"methyl octanoate";"8091";"111-11-5";1;NA;NA;NA;NA;NA;NA
"ester";"ethyl octanoate";"7799";"106-32-1";0;NA;NA;NA;NA;NA;NA
"ester";"ethyl decanoate";"8048";"110-38-3";57;NA;NA;NA;NA;NA;NA
"ester";"ethyl trans-2-butenoate";"429065";"623-70-1";160;NA;NA;NA;NA;NA;NA
"ester";"ethyl lactate";"92831";"97-64-3";45;NA;NA;NA;NA;NA;NA
"ester";"diethyl succinate";"31249";"123-25-1";1;NA;NA;NA;NA;NA;NA
"ester";"octyl acetate";"8164";"112-14-1";NA;NA;NA;NA;NA;NA;NA
"ester";"decyl acetate";"8167";"112-17-4";NA;NA;NA;NA;NA;NA;NA
"ester";"methyl propionate";"11124";"554-12-1";NA;NA;NA;NA;NA;NA;NA
"ester";"propyl butanoate";"7770";"105-66-8";NA;NA;NA;NA;NA;NA;NA
"ester";"propyl pentanoate";"67328";"141-06-0";NA;NA;NA;NA;NA;NA;NA
"ester";"butyl hexanoate";"12294";"626-82-4";NA;NA;NA;NA;NA;NA;NA
"N ring";"indole";"798";"120-72-9";NA;NA;NA;NA;NA;NA;10
"ester";"Z11-hexdecenyl acetate";"5364711";"34010-21-4";NA;NA;NA;NA;NA;NA;NA
"ester";"2-methyl butyl acetate";"12209";"624-41-9";NA;NA;NA;NA;NA;NA;NA
"ester";"propyl propionate";"7803";"106-36-5";NA;NA;NA;NA;NA;NA;NA
"ester";"sec-amyl acetate";"12278";"626-38-0";NA;NA;NA;NA;NA;0;NA
"ester";"ethyl (R)-(-)-3-hydroxybutanoate";"440030";"24915-95-5";NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl (S)-(+)-3-hydroxybutanoate";"6950306";"56816-01-4";NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl 2-methylbutanoate";"24020";"7452-79-1";NA;NA;NA;NA;NA;NA;12
"ester";"butyl butanoate";"7983";"109-21-7";NA;NA;NA;NA;NA;0;NA
"ester";"methyl pentanoate";"12206";"624-24-8";NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl pentanoate";"10882";"539-82-2";NA;NA;NA;NA;NA;NA;NA
"ester";"methyl 3-hydroxy hexanoate";"519845";"21188-58-9";NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl 3-hydroxyhexanoate";"61293";"2305-25-1";NA;NA;NA;NA;NA;0;NA
"ester";"propyl hexanoate";"12293";"626-77-7";NA;NA;NA;NA;NA;NA;NA
"ester";"methyl heptanoate";"7826";"106-73-0";NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl heptanoate";"7797";"106-30-9";NA;NA;NA;NA;NA;NA;NA
"ester";"isoamyl tiglate";"5463682";"41519-18-0";NA;NA;NA;NA;NA;NA;NA
"ester";"isopropyl butyrate";"61184";"638-11-9";NA;NA;NA;NA;NA;NA;NA
"ester";"methyl tiglate";"5323652";"6622-76-0";NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl 2-methyl-2E-butenoate";"5281163";"5837-78-5";NA;NA;NA;NA;NA;NA;NA
"ester";"isopropyl tiglate";"5367745";"1733-25-1";NA;NA;NA;NA;NA;NA;NA
"ester";"ethyl isovalerate";"7945";"108-64-5";NA;NA;NA;NA;NA;NA;NA
"ester";"heptyl acetate";"8159";"112-06-1";NA;NA;NA;NA;NA;NA;NA
"ester";"Z3-hexenyl acetate";"5363388";"3681-71-8";NA;NA;NA;NA;NA;NA;NA
"ester";"hexyl methanoate";"61177";"629-33-4";NA;NA;NA;NA;NA;NA;NA
"ester";"butyl heptanoate";"21596";"5454-28-4";NA;NA;NA;NA;NA;NA;NA
"ester";"nonyl acetate";"8918";"143-13-5";NA;NA;NA;NA;NA;NA;NA
"ester";"propyl heptanoate";"229377";"7778-87-2";NA;NA;NA;NA;NA;NA;NA
"ester";"butyl valerate";"61137";"591-68-4";NA;NA;NA;NA;NA;NA;NA
"ester";"butyl propanoate";"11529";"590-01-2";NA;NA;NA;NA;NA;NA;NA
"O ring";"acetyl furan";"14505";"1192-62-7";NA;NA;NA;NA;NA;0;NA
"O ring";"gamma-pentyl-gamma-butyrolactone";"7710";"104-61-0";NA;NA;NA;NA;NA;NA;NA
"O ring";"beta-butyrolactone";"18303";"3068-88-0";NA;NA;NA;NA;NA;NA;NA
"O ring";"gamma-valerolactone";"7921";"108-29-2";NA;NA;NA;NA;NA;NA;38
"O ring";"4-hydroxy-2,5-dimethyl-3(2H)-furanone";"19309";"3658-77-3";NA;NA;NA;NA;NA;NA;NA
"O ring";"gamma-pentyl-gamma-butyrolactone";"441574";"63357-97-1";NA;NA;NA;NA;NA;NA;NA
"O ring";"gamma-propyl-gamma-butyrolactone";"7742";"105-21-5";NA;NA;NA;NA;NA;NA;NA
"other";"oil";NA;"solvent";NA;24;14;11;17;NA;NA
"other";"heptane";NA;"142-82-5";NA;NA;NA;NA;NA;NA;NA
"other";"octane";"356";"111-65-9";NA;NA;NA;NA;NA;NA;NA
"other";"nonane";"8141";"111-84-2";NA;NA;NA;NA;NA;NA;NA
"other";"carbon dioxide";"280";"124-38-9";NA;28;13;11;15;NA;6
"N ring";"2-isobutyl-3-methoxypyrazine";"32594";"24683-00-9";NA;NA;NA;NA;NA;NA;12
"N ring";"pyrrolidine";"31268";"123-75-1";NA;NA;NA;NA;NA;NA;8
"other";"11-cis Vaccenyl Acetate";NA;"6186-98-7";NA;NA;NA;NA;NA;NA;11
"alcohol";"oleyl alcohol";"5284499";"143-28-2";NA;NA;NA;NA;NA;NA;NA
"alcohol";"cis-vaccenyl alcohol";NA;"62972-93-4";NA;NA;NA;NA;NA;NA;NA
"ester";"oleyl acetate";"5363289";"693-80-1";NA;NA;NA;NA;NA;NA;NA
"acid";"cis-vaccenic acid";"5282761";"506-17-2";NA;NA;NA;NA;NA;NA;NA
"other";"trans-methyl vaccenate";"5364432";"6198-58-9";NA;NA;NA;NA;NA;NA;NA
"other";"hexane";"8058";"110-54-3";NA;NA;NA;NA;NA;NA;NA
"O ring";"thymol";"6989";"89-83-8";NA;NA;NA;NA;NA;NA;NA
"O ring";"benzophenone";"3102";"119-61-9";NA;NA;NA;NA;NA;NA;NA
"alcohol";"isopropyl alcohol";"3776";"67-63-0";NA;NA;NA;NA;NA;NA;NA
"other";"methional";"18635";"3268-49-3";NA;NA;NA;NA;NA;NA;NA
"O ring";"menthol";"16666";"89-78-1";NA;NA;NA;NA;NA;NA;NA
