"Class";"Name";"CID";"CAS";"Schmuker.2007.TR";"Bruyne.2001.WT";"Nissler.2007.EC50";"Nissler.2007.nmr";"Kreher.2008.EN"
"ketone";"2-hexanone";"11583";"591-78-6";NA;NA;NA;0.3074;NA
"ketone";"3-hexanone";"11509";"589-38-8";NA;NA;NA;0.2546;NA
"ketone";"cyclohexanone";"7967";"108-94-1";-1;NA;NA;0.2428;-1
"ketone";"2-octanone";"8093";"111-13-7";NA;NA;1.87;0.6309;NA
"ketone";"2-methyl-3-heptanone";"25611";"13019-20-0";NA;NA;NA;NA;NA
"ketone";"nonanone";"13187";"821-55-6";NA;NA;NA;0.3397;NA
"ketone";"3-heptanone";"7802";"106-35-4";NA;NA;NA;NA;NA
"ketone";"4-octanone";"11516";"589-63-9";NA;NA;NA;NA;NA
"arom";"phenethyl alcohol";"6054";"60-12-8";NA;NA;NA;0.299222;NA
"arom";"benzyl alcohol";"244";"100-51-6";NA;NA;NA;0.315111;NA
"arom";"methyl salicylate";"4133";"119-36-8";19;38;NA;0.199667;-7
"arom";"methyl benzoate";"7150";"93-58-3";NA;NA;NA;NA;NA
"arom";"ethyl benzoate";"7165";"93-89-0";NA;NA;NA;0.203667;NA
"arom";"phenethyl acetate";"7654";"103-45-7";NA;NA;NA;NA;NA
"arom";"benzaldehyde";"240";"100-52-7";1;NA;NA;0.119111;-8
"arom";"phenylacetaldehyde";"998";"122-78-1";-5;NA;NA;0.187333;NA
"arom";"acetophenone";"7410";"98-86-2";-1;NA;NA;NA;-9
"arom";"ethyl cinnamate";"637758";"103-36-6";NA;NA;NA;NA;NA
"arom";"2-methylphenol";"335";"95-48-7";NA;NA;NA;NA;-9
"arom";"4-ethylguaiacol";"62465";"2785-89-9";NA;NA;NA;NA;NA
"arom";"eugenol";"3314";"97-53-0";NA;NA;NA;0.184;NA
"arom";"salicyl aldehyde";"6998";"90-02-8";NA;NA;NA;NA;NA
"arom";"2-hydroxy-anisole";"460";"90-05-1";NA;NA;NA;NA;NA
"arom";"4-propenyl anisole";"637563";"104-46-1";NA;NA;NA;0;NA
"arom";"4-methoxybenzaldehyde";"31244";"123-11-5";NA;NA;NA;0.253778;NA
"arom";"4-isopropylbenzaldehyde";"326";"122-03-2";0;NA;NA;0.159667;NA
"arom";"4-methoxybenzene";"7519";"100-66-3";NA;NA;NA;0.121778;-11
"arom";"4-allyl-1,2-dimethoxybenzene";"7127";"93-15-2";-1;NA;NA;0.199143;-6
"arom";"2,4,5-trimethoxy-1-propenylbenzene";"636822";"2883-98-9";NA;NA;NA;NA;NA
"arom";"benzyl cyanide";"8794";"140-29-4";NA;NA;NA;NA;NA
"arom";"iso-eugenol";"853433";"97-54-1";NA;NA;NA;0.0188889;NA
"arom";"4-methylphenol";"2879";"106-44-5";2;NA;NA;0.164375;-7
"arom";"4-ethylphenol";"31242";"123-07-9";NA;NA;NA;NA;NA
"arom";"2-propylphenol";"12570";"644-35-9";NA;NA;NA;0.102667;NA
"arom";"3-phenyl-2E-propenal";"637511";"14371-10-9";NA;NA;NA;NA;NA
"arom";"benzonitrile";"7505";"100-47-0";NA;NA;NA;0.135333;NA
"arom";"methyl jasmonate";"62388";"39924-52-2";NA;NA;NA;0.175222;NA
"arom";"benzyl acetate";"8785";"140-11-4";NA;NA;NA;NA;NA
"arom";"4-propylphenol";"12580";"645-56-7";NA;NA;NA;NA;NA
"arom";"3-methylphenol";"342";"108-39-4";NA;NA;NA;NA;NA
"arom";"2-ethylphenol";"6997";"90-00-6";NA;NA;NA;0.0454444;NA
"arom";"benzoic acid";"243";"65-85-0";NA;NA;NA;NA;NA
"arom";"4hydroxy-3-methoxybenzaldehyde";"1183";"121-33-5";NA;NA;NA;0.218333;NA
"alcohol";"methanol";"887";"67-56-1";NA;NA;NA;NA;NA
"alcohol";"ethanol";"702";"64-17-5";NA;NA;NA;NA;NA
"alcohol";"1-propanol";"1031";"71-23-8";NA;NA;NA;NA;NA
"alcohol";"1-butanol";"263";"71-36-3";-2;NA;2.156;0.606;14
"alcohol";"1-pentanol";"6276";"71-41-0";NA;NA;NA;NA;NA
"alcohol";"1-hexanol";"8103";"111-27-3";148;165;3.382;0.735;127
"alcohol";"1-octanol";"957";"111-87-5";NA;NA;NA;NA;NA
"alcohol";"2-octanol";"20083";"123-96-6";NA;NA;NA;NA;NA
"alcohol";"2-pentanol";"22386";"6032-29-7";NA;NA;NA;NA;NA
"alcohol";"3-methyl-butanol";"31260";"123-51-3";4;NA;NA;0.297;NA
"alcohol";"3-methyl-2-buten-1-ol";"11173";"556-82-1";NA;NA;NA;NA;NA
"alcohol";"1-penten-3-ol";"12020";"616-25-1";NA;NA;NA;NA;NA
"alcohol";"1-octen-3-ol";"18827";"3391-86-4";189;208;5.47;1.3446;165
"alcohol";"E2-hexenol";"5318042";"928-95-0";137;NA;NA;NA;NA
