,InChlKey,Class,Name,CID,CAS,categories,valence
21,MNWFXJYAOYHMED-UHFFFAOYSA-N,acids,heptanoic acid,8094,111-14-8,unpleasant,neutral
22,WWZKQHOCKIZLMA-UHFFFAOYSA-N,acids,octanoic acid,379,124-07-2,unpleasant,attractive
23,FBUKVWPVBMHYJY-UHFFFAOYSA-N,acids,nonanoic acid,8158,112-05-0,unpleasant,neutral
24,OYHQOLUKZRVURQ-HZJYTTRNSA-N,acids,linoleic acid,5280450,60-33-3,unpleasant,neutral
25,KQNPFQTWMSNSAP-UHFFFAOYSA-N,acids,isobutyric acid,6590,79-31-2,unpleasant,attractive
26,GWYFCOCPABKNJV-UHFFFAOYSA-N,acids,isopentanoic acid,10430,503-74-2,fermentation,attractive
27,LCTONWCANYUPML-UHFFFAOYSA-N,acids,pyruvic acid,1060,127-17-3,fermentation,attractive
28,OBETXYAYXDNJHR-UHFFFAOYSA-N,acids,2-ethylhexanoic acid,8697,149-57-5,undefined,attractive
29,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,acids,lactic acid,612,50-21-5,undefined,attractive
30,CZUGFKJYCPYHHV-UHFFFAOYSA-N,sulfides,3-methylthio-1-propanol,10448,505-10-2,undefined,attractive
31,QMMFVYPAHWMCMS-UHFFFAOYSA-N,sulfides,dimethyl sulfide,1068,75-18-3,unpleasant,neutral
32,ALVPFGSHPUPROW-UHFFFAOYSA-N,sulfides,dipropyldisulphide,12377,629-19-6,undefined,
33,SUVIGLJNEAMWEG-UHFFFAOYSA-N,sulfides,propanethiol,7848,107-03-9,undefined,
34,MOYAFQVGZZPNRA-UHFFFAOYSA-N,terpenes,terpinolene,11463,586-62-9,undefined,neutral
35,GRWFGVWFFZKLTI-UHFFFAOYSA-N,terpenes,alpha-pinene,6654,80-56-8,undefined,attractive
36,WTARULDDTDQWMU-UHFFFAOYSA-N,terpenes,beta-pinene,14896,127-91-3,repellent,
37,BQOFWKZOCNGFEC-UHFFFAOYSA-N,terpenes,3-carene,443156,13466-78-9,undefined,
38,XMGQYMWWDOXHJM-UHFFFAOYSA-N,terpenes,limonene,22311,138-86-3,fruity,
39,FAMPSKZZVDUYOS-HRGUGZIWSA-N,terpenes,alpha-humulene,5281520,6753-98-6,repellent,attractive
40,UAHWPYUMFXYFJY-UHFFFAOYSA-N,terpenes,beta-myrcene,31253,123-35-3,repellent,neutral
41,NPNUFJAVOOONJE-GFUGXAQUSA-N,terpenes,(-)-trans-caryophyllene,5281515,87-44-5,repellent,neutral
42,HFPZCAJZSCWRBC-UHFFFAOYSA-N,terpenes,p-cymene,7463,99-87-6,repellent,neutral
43,HIGQPQRQIQDZMP-DHZHZOJOSA-N,terpenes,geranyl acetate,1549026,105-87-3,fruity,attractive
44,WUOACPNHFRMFPN-SECBINFHSA-N,terpenes,alpha-terpineol,443162,10482-56-1,undefined,attractive
45,GLZPCOQZEFWAFX-JXMROGBWSA-N,terpenes,geraniol,637566,106-24-1,fruity,neutral
46,GLZPCOQZEFWAFX-YFHOEESVSA-N,terpenes,nerol,643820,106-25-2,fruity,neutral
47,CDOSHBSSFJOMGT-UHFFFAOYSA-N,terpenes,linalool,6549,78-70-6,fruity,aversive
48,QMVPMAAFGQKVCJ-SNVBAGLBSA-N,terpenes,beta-citronellol,8842,106-22-9,pleasant,neutral
49,BRHDDEIRQPDPMG-UHFFFAOYSA-N,terpenes,linalool oxide,22310,60047-17-8,undefined,attractive
50,ULDHMXUKGWMISQ-SECBINFHSA-N,terpenes,(R)-(-)-carvone,439570,6485-40-1,undefined,
51,ULDHMXUKGWMISQ-VIFPVBQESA-N,terpenes,(S)-(+)-carvone,16724,2244-16-8,undefined,
52,WEEGYLXZBRQIMU-WAAGHKOSSA-N,terpenes,"1,8-cineole",2758,470-82-6,undefined,
53,RFFOTVCVTJUTAD-UHFFFAOYSA-N,terpenes,"1,4-cineol",10106,470-67-7,undefined,
54,WTEVQBCEXWBHNA-JXMROGBWSA-N,terpenes,citral,638011,5392-40-5,fruity,
55,NEHNMFOYXAPHSD-JTQLQIEISA-N,terpenes,(S)-(-)-citronellal,443157,5949-05-3,undefined,
56,LHXDLQBQYFFVNW-OIBJUYFYSA-N,terpenes,(1R)-(-)-fenchone,14525,7787-20-4,undefined,
57,XMGQYMWWDOXHJM-JTQLQIEISA-N,terpenes,(R)-(+)-limonene,440917,5989-27-5,undefined,neutral
58,NFLGAXVYCFJBMK-BDAKNGLRSA-N,terpenes,(-)-menthone,26447,14073-97-3,repellent,
59,KMRMUZKLFIEVAO-UHFFFAOYSA-N,terpenes,(1R)-(-)-myrtenal,61130,564-94-3,undefined,
60,GRWFGVWFFZKLTI-RKDXNWHRSA-N,terpenes,(+)-alpha-pinene,82227,7785-70-8,undefined,
61,NZGWDASTMWDZIW-MRVPVSSYSA-N,terpenes,(R)-(+)-pulegon,442495,89-82-7,undefined,
62,USMNOWBWPHYOEA-MRTMQBJTSA-N,terpenes,(-)-alpha-thujone,261491,546-80-5,repellent,
63,RGZSQWQPBWRIAQ-CABCVRRESA-N,terpenes,alpha-bisabolol,10586,23089-26-1,undefined,
64,CRDAMVZIKSXKFV-YFVJMOTDSA-N,terpenes,"e,e-farnesol",445070,106-28-5,fruity,
65,UZFLPKAIBPNNCA-BQYQJAHWSA-N,terpenes,alpha-ionone,5282108,127-41-3,undefined,
66,PSQYTAPXSHCGMF-BQYQJAHWSA-N,terpenes,beta-ionone,638014,79-77-6,undefined,
67,XMGQYMWWDOXHJM-SNVBAGLBSA-N,terpenes,l-limonen,439250,5989-54-8,undefined,
68,IKHGUXGNUITLKF-UHFFFAOYSA-N,aldehydes,acetaldehyde,177,75-07-0,fruity,neutral
69,NBBJYMSMWIIQGU-UHFFFAOYSA-N,aldehydes,propanal,527,123-38-6,fruity,neutral
70,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,aldehydes,butanal,261,123-72-8,unpleasant,attractive
71,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,aldehydes,pentanal,8063,110-62-3,fruity,neutral
72,JARKCYVAAOWBJS-UHFFFAOYSA-N,aldehydes,hexanal,6184,66-25-1,fruity,attractive
73,MBDOYVRWFFCFHM-SNAWJCMRSA-N,aldehydes,E2-hexenal,5281168,6728-26-3,pleasant,neutral
74,HYBBIBNJHNGZAN-UHFFFAOYSA-N,O rings,furfural,7362,98-01-1,pleasant,attractive
75,HGINCPLSRVDWNT-UHFFFAOYSA-N,aldehydes,2-propenal,7847,107-02-8,unpleasant,neutral
76,NUJGJRNETVAIRJ-UHFFFAOYSA-N,aldehydes,octanal,454,124-13-0,fruity,
77,KSMVZQYAVGTKIV-UHFFFAOYSA-N,aldehydes,decanal,8175,112-31-2,repellent,
78,FXHGMKSSBGDXIY-UHFFFAOYSA-N,aldehydes,heptanal,8130,111-71-7,fruity,
79,LVBXEMGDVWVTGY-VOTSOKGWSA-N,aldehydes,E2-octenal,5283324,2548-87-0,undefined,
80,GYHFUZHODSMOHU-UHFFFAOYSA-N,aldehydes,nonanal,31289,124-19-6,undefined,
81,NDFKTBCGKNOHPJ-AATRIKPKSA-N,aldehydes,E2-heptenal,5283316,18829-55-5,undefined,
82,CSCPPACGZOOCGX-UHFFFAOYSA-N,ketones,acetone,180,67-64-1,fermentation,attractive
83,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,ketones,2-butanone,6569,78-93-3,fruity,neutral
84,XNLICIUVMPYHGG-UHFFFAOYSA-N,ketones,2-pentanone,7895,107-87-9,undefined,attractive
85,CATSNJVOTSVZJV-UHFFFAOYSA-N,ketones,2-heptanone,8051,110-43-0,fruity,neutral
86,UHEPJGULSIKKTP-UHFFFAOYSA-N,ketones,6-methyl-5-hepten-2-one,9862,110-93-0,fruity,neutral
87,QSJXEFYPDANLFS-UHFFFAOYSA-N,ketones,"2,3-butanedione",650,431-03-8,fruity,attractive
88,ROWKJAVDOGWPAT-UHFFFAOYSA-N,ketones,3-hydroxy-2-butanone,179,513-86-0,undefined,
89,LABTWGUMFABVFG-ARJAWSKDSA-N,ketones,3-penten-2-one,12248,625-33-2,undefined,
90,QQZOPKMRPOGIEB-UHFFFAOYSA-N,ketones,2-hexanone,11583,591-78-6,undefined,
91,PFCHFHIRKBAQGU-UHFFFAOYSA-N,ketones,3-hexanone,11509,589-38-8,undefined,
92,JHIVVAPYMSGYDF-UHFFFAOYSA-N,ketones,cyclohexanone,7967,108-94-1,unpleasant,
93,ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,ketones,2-octanone,8093,111-13-7,undefined,
94,VKCYHJWLYTUGCC-UHFFFAOYSA-N,ketones,nonanone,13187,821-55-6,undefined,
95,NGAZZOYFWWSOGK-UHFFFAOYSA-N,ketones,3-heptanone,7802,106-35-4,undefined,
96,WRMNZCZEMHIOCP-UHFFFAOYSA-N,aromatics,phenethyl alcohol,6054,60-12-8,repellent,attractive
97,WVDDGKGOMKODPV-UHFFFAOYSA-N,aromatics,benzyl alcohol,244,100-51-6,fruity,
98,OSWPMRLSEDHDFF-UHFFFAOYSA-N,aromatics,methyl salicylate,4133,119-36-8,repellent,neutral
99,QPJVMBTYPHYUOC-UHFFFAOYSA-N,aromatics,methyl benzoate,7150,93-58-3,fruity,neutral
100,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,aromatics,ethyl benzoate,7165,93-89-0,fruity,attractive
101,MDHYEMXUFSJLGV-UHFFFAOYSA-N,aromatics,phenethyl acetate,7654,103-45-7,fruity,attractive
102,HUMNYLRZRPPJDN-UHFFFAOYSA-N,aromatics,benzaldehyde,240,100-52-7,pleasant,aversive
103,DTUQWGWMVIHBKE-UHFFFAOYSA-N,aromatics,phenylacetaldehyde,998,122-78-1,pleasant,attractive
104,KWOLFJPFCHCOCG-UHFFFAOYSA-N,aromatics,acetophenone,7410,98-86-2,fruity,aversive
105,KBEBGUQPQBELIU-CMDGGOBGSA-N,aromatics,ethyl cinnamate,637758,103-36-6,repellent,attractive
106,QWVGKYWNOKOFNN-UHFFFAOYSA-N,aromatics,2-methylphenol,335,95-48-7,unpleasant,aversive
107,CHWNEIVBYREQRF-UHFFFAOYSA-N,aromatics,4-ethylguaiacol,62465,2785-89-9,fermentation,attractive
108,RRAFCDWBNXTKKO-UHFFFAOYSA-N,aromatics,eugenol,3314,97-53-0,repellent,attractive
109,SMQUZDBALVYZAC-UHFFFAOYSA-N,aromatics,salicyl aldehyde,6998,90-02-8,undefined,
110,LHGVFZTZFXWLCP-UHFFFAOYSA-N,aromatics,2-hydroxy-anisole,460,90-05-1,undefined,
111,RUVINXPYWBROJD-ONEGZZNKSA-N,aromatics,4-propenyl anisole,637563,104-46-1,repellent,
112,ZRSNZINYAWTAHE-UHFFFAOYSA-N,aromatics,4-methoxybenzaldehyde,31244,123-11-5,pleasant,
113,WTWBUQJHJGUZCY-UHFFFAOYSA-N,aromatics,4-isopropylbenzaldehyde,326,122-03-2,repellent,
114,RDOXTESZEPMUJZ-UHFFFAOYSA-N,aromatics,4-methoxybenzene,7519,100-66-3,unpleasant,
115,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,aromatics,"4-allyl-1,2-dimethoxybenzene",7127,93-15-2,undefined,
116,RKFAZBXYICVSKP-WAYWQWQTSA-N,aromatics,"2,4,5-trimethoxy-1-propenylbenzene",636822,2883-98-9,undefined,
117,SUSQOBVLVYHIEX-UHFFFAOYSA-N,aromatics,benzyl cyanide,8794,140-29-4,pleasant,
118,BJIOGJUNALELMI-ONEGZZNKSA-N,aromatics,iso-eugenol,853433,97-54-1,undefined,
119,IWDCLRJOBJJRNH-UHFFFAOYSA-N,aromatics,4-methylphenol,2879,106-44-5,fermentation,
120,HXDOZKJGKXYMEW-UHFFFAOYSA-N,aromatics,4-ethylphenol,31242,123-07-9,fermentation,
121,LCHYEKKJCUJAKN-UHFFFAOYSA-N,aromatics,2-propylphenol,12570,644-35-9,undefined,
122,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,aromatics,3-phenyl-2e-propenal,637511,14371-10-9,undefined,
123,JFDZBHWFFUWGJE-UHFFFAOYSA-N,aromatics,benzonitrile,7505,100-47-0,pleasant,
124,GEWDNTWNSAZUDX-SNAWJCMRSA-N,aromatics,methyl jasmonate,62388,39924-52-2,undefined,
125,QUKGYYKBILRGFE-UHFFFAOYSA-N,aromatics,benzyl acetate,8785,140-11-4,fruity,
126,KLSLBUSXWBJMEC-UHFFFAOYSA-N,aromatics,4-propylphenol,12580,645-56-7,undefined,
127,RLSSMJSEOOYNOY-UHFFFAOYSA-N,aromatics,3-methylphenol,342,108-39-4,unpleasant,
128,IXQGCWUGDFDQMF-UHFFFAOYSA-N,aromatics,2-ethylphenol,6997,90-00-6,undefined,
129,WPYMKLBDIGXBTP-UHFFFAOYSA-N,aromatics,benzoic acid,243,65-85-0,fruity,
130,MWOOGOJBHIARFG-UHFFFAOYSA-N,aromatics,4hydroxy-3-methoxybenzaldehyde,1183,121-33-5,fruity,
131,OKKJLVBELUTLKV-UHFFFAOYSA-N,alcohols,methanol,887,67-56-1,fruity,attractive
132,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,alcohols,ethanol,702,64-17-5,fruity,neutral
133,BDERNNFJNOPAEC-UHFFFAOYSA-N,alcohols,1-propanol,1031,71-23-8,fermentation,attractive
134,LRHPLDYGYMQRHN-UHFFFAOYSA-N,alcohols,1-butanol,263,71-36-3,fruity,attractive
135,AMQJEAYHLZJPGS-UHFFFAOYSA-N,alcohols,1-pentanol,6276,71-41-0,fruity,attractive
136,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,alcohols,1-hexanol,8103,111-27-3,pleasant,neutral
137,KBPLFHHGFOOTCA-UHFFFAOYSA-N,alcohols,1-octanol,957,111-87-5,repellent,aversive
138,SJWFXCIHNDVPSH-UHFFFAOYSA-N,alcohols,2-octanol,20083,123-96-6,undefined,
139,JYVLIDXNZAXMDK-UHFFFAOYSA-N,alcohols,2-pentanol,22386,6032-29-7,undefined,attractive
140,PHTQWCKDNZKARW-UHFFFAOYSA-N,alcohols,3-methyl-butanol,31260,123-51-3,fruity,attractive
141,ASUAYTHWZCLXAN-UHFFFAOYSA-N,alcohols,3-methyl-2-buten-1-ol,11173,556-82-1,fruity,attractive
142,VHVMXWZXFBOANQ-UHFFFAOYSA-N,alcohols,1-penten-3-ol,12020,616-25-1,undefined,attractive
143,VSMOENVRRABVKN-UHFFFAOYSA-N,alcohols,1-octen-3-ol,18827,3391-86-4,repellent,aversive
144,ZCHHRLHTBGRGOT-SNAWJCMRSA-N,alcohols,E2-hexenol,5318042,928-95-0,undefined,neutral
145,ZCHHRLHTBGRGOT-PLNGDYQASA-N,alcohols,Z2-hexenol,5324489,928-94-9,undefined,attractive
146,UFLHIIWVXFIJGU-ONEGZZNKSA-N,alcohols,E3-hexenol,5284503,928-97-2,undefined,
147,UFLHIIWVXFIJGU-ARJAWSKDSA-N,alcohols,Z3-hexenol,5281167,928-96-1,fruity,neutral
148,PEDCQBHIVMGVHV-UHFFFAOYSA-N,alcohols,glycerol,753,56-81-5,odourless,neutral
149,OWBTYPJTUOEWEK-UHFFFAOYSA-N,alcohols,"2,3-butanediol",262,513-85-9,fermentation,attractive
150,HPXRVTGHNJAIIH-UHFFFAOYSA-N,alcohols,cyclohexanol,7966,108-93-0,repellent,
151,MWKFXSUHUHTGQN-UHFFFAOYSA-N,alcohols,decanol,8174,112-30-1,undefined,
152,MQWCXKGKQLNYQG-UHFFFAOYSA-N,alcohols,4-methylcyclohexanol,11524,589-91-3,undefined,
153,BBMCTIGTTCKYKF-UHFFFAOYSA-N,alcohols,1-heptanol,8129,111-70-6,pleasant,
154,NMRPBPVERJPACX-UHFFFAOYSA-N,alcohols,3-octanol,11527,589-98-0,pleasant,
155,ZWRUINPWMLAQRD-UHFFFAOYSA-N,alcohols,1-nonanol,8914,143-08-8,fruity,
156,WOFPPJOZXUTRAU-UHFFFAOYSA-N,alcohols,4-octanol,11515,589-62-8,undefined,
157,CETWDUZRCINIHU-UHFFFAOYSA-N,alcohols,2-heptanol,10976,543-49-7,undefined,
158,QNVRIHYSUZMSGM-UHFFFAOYSA-N,alcohols,2-hexanol,12297,626-93-7,undefined,
159,ZOCHHNOQQHDWHG-UHFFFAOYSA-N,alcohols,3-hexanol,12178,623-37-0,fruity,neutral
160,BVOSSZSHBZQJOI-UHFFFAOYSA-N,alcohols,1-hexen-3-ol,20928,4798-44-1,undefined,
161,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,alcohols,isobutyl alcohol,6560,78-83-1,fermentation,
162,KXKVLQRXCPHEJC-UHFFFAOYSA-N,esters,methyl acetate,6584,79-20-9,pleasant,attractive
163,XEKOWRVHYACXOJ-UHFFFAOYSA-N,esters,ethyl acetate,8857,141-78-6,fruity,neutral
164,YKYONYBAUNKHLG-UHFFFAOYSA-N,esters,propyl acetate,7997,109-60-4,fruity,attractive
165,DKPFZGUDAPQIHT-UHFFFAOYSA-N,esters,butyl acetate,31272,123-86-4,fruity,neutral
166,PGMYKACGEOXYJE-UHFFFAOYSA-N,esters,pentyl acetate,12348,628-63-7,fruity,attractive
167,AOGQPLXWSUTHQB-UHFFFAOYSA-N,esters,hexyl acetate,8908,142-92-7,fruity,attractive
168,GJRQTCIYDGXPES-UHFFFAOYSA-N,esters,isobutyl acetate,8038,110-19-0,fruity,neutral
169,MLFHJEHSLIIPHL-UHFFFAOYSA-N,esters,isopentyl acetate,31276,123-92-2,fruity,neutral
170,HRHOWZHRCRZVCU-WAYWQWQTSA-N,esters,E2-hexenyl acetate,2733294,2497-18-9,fruity,neutral
171,UUIQMZJEGPQKFD-UHFFFAOYSA-N,esters,methyl butyrate,12180,623-42-7,fruity,neutral
172,OBNCKNCVKJNDBV-UHFFFAOYSA-N,esters,ethyl butyrate,7762,105-54-4,fruity,neutral
173,XAPCMTMQBXLDBB-UHFFFAOYSA-N,esters,hexyl butyrate,17525,2639-63-6,undefined,attractive
174,OMSUIQOIVADKIM-UHFFFAOYSA-N,esters,ethyl 3-hydroxybutyrate,62572,5405-41-4,fruity,attractive
175,FKRCODPIKNYEAC-UHFFFAOYSA-N,esters,ethyl propionate,7749,105-37-3,fruity,attractive
176,WBJINCZRORDGAQ-UHFFFAOYSA-N,esters,ethyl methanoate,8025,109-94-4,fruity,attractive
177,NUKZAGXMHTUAFE-UHFFFAOYSA-N,esters,methyl hexanoate,7824,106-70-7,undefined,neutral
178,SHZIWNPUGXLXDT-UHFFFAOYSA-N,esters,ethyl hexanoate,31265,123-66-0,fruity,neutral
179,NCDCLPBOMHPFCV-UHFFFAOYSA-N,esters,hexyl hexanoate,22873,6378-65-0,undefined,
180,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,esters,methyl octanoate,8091,111-11-5,undefined,neutral
181,YYZUSRORWSJGET-UHFFFAOYSA-N,esters,ethyl octanoate,7799,106-32-1,fruity,neutral
182,RGXWDWUGBIJHDO-UHFFFAOYSA-N,esters,ethyl decanoate,8048,110-38-3,fermentation,neutral
183,ZFDIRQKJPRINOQ-HWKANZROSA-N,esters,ethyl trans-2-butenoate,429065,623-70-1,undefined,neutral
184,LZCLXQDLBQLTDK-UHFFFAOYSA-N,esters,ethyl lactate,92831,97-64-3,fruity,neutral
185,DKMROQRQHGEIOW-UHFFFAOYSA-N,esters,diethyl succinate,31249,123-25-1,undefined,attractive
186,YLYBTZIQSIBWLI-UHFFFAOYSA-N,esters,octyl acetate,8164,112-14-1,fruity,
187,NUPSHWCALHZGOV-UHFFFAOYSA-N,esters,decyl acetate,8167,112-17-4,undefined,
188,RJUFJBKOKNCXHH-UHFFFAOYSA-N,esters,methyl propionate,11124,554-12-1,fruity,
189,HUAZGNHGCJGYNP-UHFFFAOYSA-N,esters,propyl butanoate,7770,105-66-8,undefined,
190,RPRPDTXKGSIXMD-UHFFFAOYSA-N,esters,butyl hexanoate,12294,626-82-4,undefined,
191,SIKJAQJRHWYJAI-UHFFFAOYSA-N,N rings,indole,798,120-72-9,pleasant,
192,BTKXLQSCEOHKTF-SREVYHEPSA-N,esters,Z11-hexdecenyl acetate,5364711,34010-21-4,undefined,
193,XHIUFYZDQBSEMF-UHFFFAOYSA-N,esters,2-methyl butyl acetate,12209,624-41-9,undefined,
194,MCSINKKTEDDPNK-UHFFFAOYSA-N,esters,propyl propionate,7803,106-36-5,fruity,
195,GQKZRWSUJHVIPE-UHFFFAOYSA-N,esters,sec-amyl acetate,12278,626-38-0,undefined,
196,OMSUIQOIVADKIM-RXMQYKEDSA-N,esters,ethyl (R)-(-)-3-hydroxybutanoate,440030,24915-95-5,undefined,
197,OMSUIQOIVADKIM-YFKPBYRVSA-N,esters,ethyl (S)-(+)-3-hydroxybutanoate,6950306,56816-01-4,undefined,
198,HCRBXQFHJMCTLF-UHFFFAOYSA-N,esters,ethyl 2-methylbutanoate,24020,7452-79-1,undefined,
199,XUPYJHCZDLZNFP-UHFFFAOYSA-N,esters,butyl butanoate,7983,109-21-7,fruity,
200,ICMAFTSLXCXHRK-UHFFFAOYSA-N,esters,ethyl pentanoate,10882,539-82-2,fruity,
201,ACCRBMDJCPPJDX-UHFFFAOYSA-N,esters,methyl 3-hydroxy hexanoate,519845,21188-58-9,undefined,
202,LYRIITRHDCNUHV-UHFFFAOYSA-N,esters,ethyl 3-hydroxyhexanoate,61293,2305-25-1,undefined,
203,HTUIWRWYYVBCFT-UHFFFAOYSA-N,esters,propyl hexanoate,12293,626-77-7,fruity,
204,ZARFDQHJMNVNLE-WEVVVXLNSA-N,esters,isoamyl tiglate,5463682,41519-18-0,undefined,
205,FFOPEPMHKILNIT-UHFFFAOYSA-N,esters,isopropyl butyrate,61184,638-11-9,undefined,
206,YYJWBYNQJLBIGS-PLNGDYQASA-N,esters,methyl tiglate,5323652,6622-76-0,undefined,
207,OAPHLAAOJMTMLY-GQCTYLIASA-N,esters,ethyl 2-methyl-2e-butenoate,5281163,5837-78-5,undefined,
208,VUPBIVVRPJDWNW-FNORWQNLSA-N,esters,isopropyl tiglate,5367745,1733-25-1,undefined,
209,PPXUHEORWJQRHJ-UHFFFAOYSA-N,esters,ethyl isovalerate,7945,108-64-5,fruity,
210,ZCZSIDMEHXZRLG-UHFFFAOYSA-N,esters,heptyl acetate,8159,112-06-1,fruity,
211,NPFVOOAXDOBMCE-PLNGDYQASA-N,esters,Z3-hexenyl acetate,5363388,3681-71-8,undefined,
212,OUGPMNMLWKSBRI-UHFFFAOYSA-N,esters,hexyl methanoate,61177,629-33-4,undefined,
213,GJQIMXVRFNLMTB-UHFFFAOYSA-N,esters,nonyl acetate,8918,143-13-5,undefined,
214,BTMVHUNTONAYDX-UHFFFAOYSA-N,esters,butyl propanoate,11529,590-01-2,undefined,
215,IEMMBWWQXVXBEU-UHFFFAOYSA-N,O rings,acetyl furan,14505,1192-62-7,undefined,
216,GSCLMSFRWBPUSK-UHFFFAOYSA-N,O rings,beta-butyrolactone,18303,3068-88-0,undefined,
217,GAEKPEKOJKCEMS-UHFFFAOYSA-N,O rings,gamma-valerolactone,7921,108-29-2,undefined,
218,OALYTRUKMRCXNH-QMMMGPOBSA-N,O rings,gamma-pentyl-gamma-butyrolactone,441574,63357-97-1,undefined,
219,VLSVVMPLPMNWBH-UHFFFAOYSA-N,O rings,gamma-propyl-gamma-butyrolactone,7742,105-21-5,undefined,
220,solvent,undefined,oil,solvent,solvent,repellent,
221,IMNFDUFMRHMDMM-UHFFFAOYSA-N,undefined,heptane,8900,142-82-5,unpleasant,
222,TVMXDCGIABBOFY-UHFFFAOYSA-N,undefined,octane,356,111-65-9,unpleasant,
223,BKIMMITUMNQMOS-UHFFFAOYSA-N,undefined,nonane,8141,111-84-2,unpleasant,
224,CURLTUGMZLYLDI-UHFFFAOYSA-N,undefined,carbon dioxide,280,124-38-9,fermentation,
225,UXFSPRAGHGMRSQ-UHFFFAOYSA-N,N rings,2-isobutyl-3-methoxypyrazine,32594,24683-00-9,unpleasant,
226,RWRDLPDLKQPQOW-UHFFFAOYSA-N,N rings,pyrrolidine,31268,123-75-1,unpleasant,
227,QSZKEDWVAOAFQY-HJWRWDBZSA-N,esters,11-cis vaccenyl acetate,5363286,6186-98-7,pheromone,
228,ALSTYHKOOCGGFT-KTKRTIGZSA-N,alcohols,oleyl alcohol,5284499,143-28-2,undefined,
229,XMLQWXUVTXCDDL-FPLPWBNLSA-N,alcohols,cis-vaccenyl alcohol,11821627,62972-93-4,undefined,
230,GYGAZRPDUOHMAF-KHPPLWFESA-N,esters,oleyl acetate,5363289,693-80-1,undefined,
231,UWHZIFQPPBDJPM-FPLPWBNLSA-N,acids,cis-vaccenic acid,5282761,506-17-2,undefined,
232,PVVODBCDJBGMJL-CMDGGOBGSA-N,undefined,trans-methyl vaccenate,5364432,6198-58-9,undefined,
233,VLKZOEOYAKHREP-UHFFFAOYSA-N,undefined,hexane,8058,110-54-3,odourless,
234,MGSRCZKZVOBKFT-UHFFFAOYSA-N,O rings,thymol,6989,89-83-8,repellent,
235,RWCCWEUUXYIKHB-UHFFFAOYSA-N,O rings,benzophenone,3102,119-61-9,undefined,
236,KFZMGEQAYNKOFK-UHFFFAOYSA-N,alcohols,isopropyl alcohol,3776,67-63-0,undefined,
237,CLUWOWRTHNNBBU-UHFFFAOYSA-N,undefined,methional,18635,3268-49-3,undefined,
238,NOOLISFMXDJSKH-KXUCPTDWSA-N,O rings,menthol,16666,89-78-1,undefined,
