"Class";"Name";"CID";"CAS";"Bruyne.2001.WT";"Bruyne.2001.RR";"Dobritsa.2003.EN";"Galizia.2009.nmr"
"alcohol";"cyclohexanol";"7966";"108-93-0";NA;NA;NA;NA
"alcohol";"decanol";"8174";"112-30-1";NA;NA;NA;0.0232429565415856
"alcohol";"4-methylcyclohexanol";"11524";"589-91-3";NA;0;NA;0.0253204588831244
"alcohol";"1-heptanol";"8129";"111-70-6";NA;NA;NA;NA
"alcohol";"3-octanol";"11527";"589-98-0";NA;0;NA;0.0229665883294133
"alcohol";"1-nonanol";"8914";"143-08-8";NA;NA;NA;NA
"alcohol";"4-octanol";"11515";"589-62-8";NA;NA;NA;0.0826411674515614
"alcohol";"2-heptanol";"10976";"543-49-7";NA;NA;NA;0.038017743040746
"alcohol";"2-hexanol";"12297";"626-93-7";NA;NA;NA;0.235740961987672
"alcohol";"3-hexanol";"12178";"623-37-0";NA;NA;NA;NA
"alcohol";"1-hexen-3-ol";"20928";"4798-44-1";NA;NA;NA;0.0327867786201268
"alcohol";"isobutyl alcohol";"6560";"78-83-1";NA;NA;NA;NA
"ester";"methyl acetate";"6584";"79-20-9";NA;NA;NA;NA
"ester";"ethyl acetate";"8857";"141-78-6";62;30;41;NA
"ester";"propyl acetate";"7997";"109-60-4";NA;NA;NA;NA
"ester";"butyl acetate";"31272";"123-86-4";NA;NA;NA;0.042506879738006
"ester";"pentyl acetate";"12348";"628-63-7";15;0;24;NA
"ester";"hexyl acetate";"8908";"142-92-7";NA;NA;NA;0.0294690360616488
"ester";"isobutyl acetate";"8038";"110-19-0";NA;NA;NA;NA
"ester";"isopentyl acetate";"31276";"123-92-2";NA;0;NA;NA
"ester";"E2-hexenyl acetate";"2733294";"2497-18-9";NA;0;NA;0.0324287420991387
"ester";"methyl butyrate";"12180";"623-42-7";NA;NA;NA;NA
"ester";"ethyl butyrate";"7762";"105-54-4";37;30;36;NA
"ester";"hexyl butyrate";"17525";"2639-63-6";NA;NA;NA;0.0313739419806783
"ester";"ethyl 3-hydroxybutyrate";"62572";"5405-41-4";NA;NA;NA;NA
"ester";"ethyl propionate";"7749";"105-37-3";NA;30;NA;NA
"ester";"ethyl methanoate";"8025";"109-94-4";NA;NA;NA;NA
"ester";"methyl hexanoate";"7824";"106-70-7";NA;NA;NA;NA
"ester";"ethyl hexanoate";"31265";"123-66-0";NA;NA;NA;NA
"ester";"hexyl hexanoate";"22873";"6378-65-0";NA;NA;NA;NA
"ester";"methyl octanoate";"8091";"111-11-5";NA;NA;NA;NA
"ester";"ethyl octanoate";"7799";"106-32-1";NA;NA;NA;NA
"ester";"ethyl decanoate";"8048";"110-38-3";NA;NA;NA;NA
"ester";"ethyl trans-2-butenoate";"429065";"623-70-1";NA;NA;NA;NA
"ester";"ethyl lactate";"92831";"97-64-3";NA;NA;NA;NA
"ester";"diethyl succinate";"31249";"123-25-1";NA;NA;NA;NA
"ester";"octyl acetate";"8164";"112-14-1";NA;NA;NA;0.0243857642471466
"ester";"decyl acetate";"8167";"112-17-4";NA;NA;NA;NA
"ester";"methyl propionate";"11124";"554-12-1";NA;NA;NA;NA
"ester";"propyl butanoate";"7770";"105-66-8";NA;NA;NA;NA
"ester";"propyl pentanoate";"67328";"141-06-0";NA;NA;NA;NA
"ester";"butyl hexanoate";"12294";"626-82-4";NA;NA;NA;NA
"N ring";"indole";"798";"120-72-9";NA;0;NA;NA
"ester";"Z11-hexdecenyl acetate";"5364711";"34010-21-4";NA;NA;NA;NA
"ester";"2-methyl butyl acetate";"12209";"624-41-9";NA;NA;NA;0.0458400452314826
"ester";"propyl propionate";"7803";"106-36-5";NA;NA;NA;NA
"ester";"sec-amyl acetate";"12278";"626-38-0";NA;NA;NA;NA
"ester";"ethyl (R)-(-)-3-hydroxybutanoate";"440030";"24915-95-5";NA;NA;NA;0.232140918362527
"ester";"ethyl (S)-(+)-3-hydroxybutanoate";"6950306";"56816-01-4";NA;NA;NA;0.509968561362529
"ester";"ethyl 2-methylbutanoate";"24020";"7452-79-1";NA;0;NA;0.0481942063956057
"ester";"butyl butanoate";"7983";"109-21-7";NA;NA;NA;NA
