"Receptor";"Sensillum";"ORN";"Glomerulus";"Co-receptor";"Coexpress";"Related1";"Related2";"Related3";"Related4";"Ors";"Sensillium.Type";"Comment";"Code";"x";"y"
"Or10a";"ab1";"ab1D";"DL1";"Orco";"Gr10a";"Gr10a";;;;"Or10a+Gr10a";"antennal basiconic";;159;1006;105
"Or13a";"ab6";"ab6A";"DC2";"Orco";;;;;;"Or13a";"antennal basiconic";;201;529;171
"Or19a";"at3";"at3";"DC1";"Orco";"Or19b";"Or19b";;;;"Or19a+b";"antennal trichoid / intermediate";"aka ai2A (Dweck et al. 2013)";106;532;125
"Or19b";"at3";"at3";"DC1";"Orco";"Or19a";"Or19a";;;;"Or19a+b";"antennal trichoid";;"NA";"NA";"NA"
"Or1a";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or22a";"ab3";"ab3A";"DM2";"Orco";"Or22b";"Or22b";;;;"Or22a+b";"antennal basiconic";;127;825;129
"Or22b";"ab3";"ab3A";"DM2";"Orco";"Or22a";"Or22a";;;;"Or22a+b";"antennal basiconic";;"NA";"NA";"NA"
"Or22c";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or23a";"at2";"at2B";"DA3";"Orco";;;;;;"Or23a";"antennal trichoid / intermediate";"aka ai2B (Ronderos et al. 2014)";1;167;45
"Or24a";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or2a";"at3";"at3";"DA4m";"Orco";;;;;;"Or2a";"antennal trichoid";;6;186;78
"Or30a";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or33a";"ab4";"ab4B";"DA2";"Orco";"Or56a";"Or56a";"ab4B";;;"Or33a+56a";"antennal basiconic";;"NA";"NA";"NA"
"Or33b";"ab2+ab5";"ab2B+ab5B";"DM5+DM3";"Orco";"Or85a (in ab2B) / Or47a (in ab5B)";"Or85a";"Or47a";"ab2B";"ab5B";"Or85a+33b";"antennal basiconic";;"NA";"NA";"NA"
"Or33c";"pb2";"pb2A";"VC1";"Orco";"Or85e";"Or85e";;;;"Or33c+85e";"maxillary palp";;"NA";"NA";"NA"
"Or35a";"ac3";"ac3B";"VC3";"Orco, Ir76b";;"ac3B";;;;"Or35a";"antennal coeloconic";;"NA";"NA";"NA"
"Or42a";"pb1";"pb1A";"VM7";"Orco";;;;;;"Or42a";"maxillary palp";;220;844;214
"Or42b";"ab1";"ab1A";"DM1";"Orco";;;;;;"Or42b";"antennal basiconic";;20;1262;126
"Or43a";"at3";"at3";"DA4l";"Orco";;;;;;"Or43a";"antennal trichoid";;4;187;118
"Or43b";"ab8";"ab8A";"VM2";"Orco";;;;;;"Or43b";"antennal basiconic";;196;27;252
"Or45a";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or45b";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or46a";"pb2";"pb2B";"VA7l";"Orco";;;;;;"Or46a";"maxillary palp";;63;174;249
"Or47a";"ab5";"ab5B";"DM3";"Orco";"Or33b";"Or33b";"ab5B";;;"Or47a+33b";"antennal basiconic";;"NA";"NA";"NA"
"Or47b";"at4";"at4";"VA1lm";"Orco";;;;;;"Or47b";"antennal trichoid";;224;254;213
"Or49a";"ab10";"ab10";"DL4";"Orco";"Or85f";"Or85f";;;;"Or49a+85f";"antennal basiconic";;"NA";"NA";"NA"
"Or49b";"ab6";"ab6B";"VA5";"Orco";;;;;;"Or49b";"antennal basiconic";;228;234;309
"Or56a";"ab4";"ab4B";"DA2";"Orco";"Or33a";"Or33a";"ab4B";;;"Or33a+56a";"antennal basiconic";"see ab4B for data";"NA";"NA";"NA"
"Or59a";;;;"Orco";;;;;;;;;"NA";"NA";"NA"
"Or59b";"ab2";"ab2A";"DM4";"Orco";;;;;;"Or59b";"antennal basiconic";;101;1240;184
