"Class";"Name";"InChIKey";"CID";"CAS";"Kreher.2005.EN";"Kreher.2008.EN";"Galizia.2009.nmr"
"91";"ketone";"2-hexanone";"QQZOPKMRPOGIEB-UHFFFAOYSA-N";11583;"591-78-6";NA;NA;0.681036712981396
"92";"ketone";"3-hexanone";"PFCHFHIRKBAQGU-UHFFFAOYSA-N";11509;"589-38-8";NA;NA;0.170259191087862
"93";"ketone";"cyclohexanone";"JHIVVAPYMSGYDF-UHFFFAOYSA-N";7967;"108-94-1";93;91;0.419871263644064
"94";"ketone";"2-octanone";"ZPVFWPFBNIEHGJ-UHFFFAOYSA-N";8093;"111-13-7";NA;NA;0.391859498553118
"95";"ketone";"2-methyl-3-heptanone";"XYYMFUCZDNNGFS-UHFFFAOYSA-N";25611;"13019-20-0";NA;NA;NA
"96";"ketone";"nonanone";"VKCYHJWLYTUGCC-UHFFFAOYSA-N";13187;"821-55-6";NA;NA;0.26640784293658
"97";"ketone";"3-heptanone";"NGAZZOYFWWSOGK-UHFFFAOYSA-N";7802;"106-35-4";NA;NA;NA
"98";"ketone";"4-octanone";"YWXLSHOWXZUMSR-UHFFFAOYSA-N";11516;"589-63-9";NA;NA;NA
"99";"arom";"phenethyl alcohol";"WRMNZCZEMHIOCP-UHFFFAOYSA-N";6054;"60-12-8";NA;NA;1.08361348932496
"100";"arom";"benzyl alcohol";"WVDDGKGOMKODPV-UHFFFAOYSA-N";244;"100-51-6";NA;NA;0.710343549234305
"101";"arom";"methyl salicylate";"OSWPMRLSEDHDFF-UHFFFAOYSA-N";4133;"119-36-8";6;5;0.199719552266736
"102";"arom";"methyl benzoate";"QPJVMBTYPHYUOC-UHFFFAOYSA-N";7150;"93-58-3";NA;NA;NA
"103";"arom";"ethyl benzoate";"MTZQAGJQAFMTAQ-UHFFFAOYSA-N";7165;"93-89-0";NA;NA;0.447213296294292
"104";"arom";"phenethyl acetate";"MDHYEMXUFSJLGV-UHFFFAOYSA-N";7654;"103-45-7";NA;NA;NA
"105";"arom";"benzaldehyde";"HUMNYLRZRPPJDN-UHFFFAOYSA-N";240;"100-52-7";241;239;0.609790421958942
"106";"arom";"phenylacetaldehyde";"DTUQWGWMVIHBKE-UHFFFAOYSA-N";998;"122-78-1";NA;NA;0.625405000480317
"107";"arom";"acetophenone";"KWOLFJPFCHCOCG-UHFFFAOYSA-N";7410;"98-86-2";296;297;NA
"108";"arom";"ethyl cinnamate";"KBEBGUQPQBELIU-CMDGGOBGSA-N";637758;"103-36-6";NA;NA;NA
"109";"arom";"2-methylphenol";"QWVGKYWNOKOFNN-UHFFFAOYSA-N";335;"95-48-7";NA;4;NA
"110";"arom";"4-ethylguaiacol";"CHWNEIVBYREQRF-UHFFFAOYSA-N";62465;"2785-89-9";NA;NA;NA
"111";"arom";"eugenol";"RRAFCDWBNXTKKO-UHFFFAOYSA-N";3314;"97-53-0";NA;NA;0.247691751411186
"112";"arom";"salicyl aldehyde";"SMQUZDBALVYZAC-UHFFFAOYSA-N";6998;"90-02-8";NA;NA;NA
"113";"arom";"2-hydroxy-anisole";"LHGVFZTZFXWLCP-UHFFFAOYSA-N";460;"90-05-1";NA;NA;NA
"114";"arom";"4-propenyl anisole";"RUVINXPYWBROJD-ONEGZZNKSA-N";637563;"104-46-1";NA;NA;NA
"115";"arom";"4-methoxybenzaldehyde";"ZRSNZINYAWTAHE-UHFFFAOYSA-N";31244;"123-11-5";NA;NA;0.201290247993459
"116";"arom";"4-isopropylbenzaldehyde";"WTWBUQJHJGUZCY-UHFFFAOYSA-N";326;"122-03-2";NA;NA;0.146728495318166
"117";"arom";"4-methoxybenzene";"RDOXTESZEPMUJZ-UHFFFAOYSA-N";7519;"100-66-3";93;89;0.303789923549605
"118";"arom";"4-allyl-1,2-dimethoxybenzene";"ZYEMGPIYFIJGTP-UHFFFAOYSA-N";7127;"93-15-2";12;10;0.266579594032669
"119";"arom";"2,4,5-trimethoxy-1-propenylbenzene";"RKFAZBXYICVSKP-WAYWQWQTSA-N";636822;"2883-98-9";NA;NA;NA
"120";"arom";"benzyl cyanide";"SUSQOBVLVYHIEX-UHFFFAOYSA-N";8794;"140-29-4";NA;NA;NA
"121";"arom";"iso-eugenol";"BJIOGJUNALELMI-ONEGZZNKSA-N";853433;"97-54-1";NA;NA;0.125138207306492
"122";"arom";"4-methylphenol";"IWDCLRJOBJJRNH-UHFFFAOYSA-N";2879;"106-44-5";13;9;0.136021893727331
"123";"arom";"4-ethylphenol";"HXDOZKJGKXYMEW-UHFFFAOYSA-N";31242;"123-07-9";NA;NA;NA
"124";"arom";"2-propylphenol";"LCHYEKKJCUJAKN-UHFFFAOYSA-N";12570;"644-35-9";NA;NA;0.221456425735662
"125";"arom";"3-phenyl-2E-propenal";"KJPRLNWUNMBNBZ-QPJJXVBHSA-N";637511;"14371-10-9";NA;NA;NA
"126";"arom";"benzonitrile";"JFDZBHWFFUWGJE-UHFFFAOYSA-N";7505;"100-47-0";NA;NA;0.528088367949128
"127";"arom";"methyl jasmonate";"GEWDNTWNSAZUDX-SNAWJCMRSA-N";62388;"39924-52-2";NA;NA;0.49110679454204
"128";"arom";"benzyl acetate";"QUKGYYKBILRGFE-UHFFFAOYSA-N";8785;"140-11-4";NA;NA;NA
"129";"arom";"4-propylphenol";"KLSLBUSXWBJMEC-UHFFFAOYSA-N";12580;"645-56-7";NA;NA;NA
"130";"arom";"3-methylphenol";"RLSSMJSEOOYNOY-UHFFFAOYSA-N";342;"108-39-4";NA;NA;NA
"131";"arom";"2-ethylphenol";"IXQGCWUGDFDQMF-UHFFFAOYSA-N";6997;"90-00-6";NA;NA;0.348256849608668
"132";"arom";"benzoic acid";"WPYMKLBDIGXBTP-UHFFFAOYSA-N";243;"65-85-0";NA;NA;NA
"133";"arom";"4hydroxy-3-methoxybenzaldehyde";"MWOOGOJBHIARFG-UHFFFAOYSA-N";1183;"121-33-5";NA;NA;0.242903268137124
"134";"alcohol";"methanol";"OKKJLVBELUTLKV-UHFFFAOYSA-N";887;"67-56-1";NA;NA;NA
